,station_number,year,month,day,hour,minute,precipitation,air_temp,dew_point,humidity,wind_speed,wind_speed_quality,wind_direction
142608,23013,2000,10,1,0,0,   3.0, 11.3,  6.2, 71, 28,N,260
142609,23013,2000,10,1,0,30,   3.0, 11.7,  6.4, 70, 28,N,260
142610,23013,2000,10,1,1,0,   3.4, 10.0,  8.8, 92, 33,N,240
142611,23013,2000,10,1,1,30,   3.4, 10.0,  7.8, 86, 24,N,260
142612,23013,2000,10,1,2,0,   3.4, 10.8,  7.5, 80, 28,N,250
142613,23013,2000,10,1,2,19,   3.4, 10.8,  7.5, 80, 30,N,250
142614,23013,2000,10,1,2,30,   3.4, 10.0,  8.6, 91, 39,N,230
142615,23013,2000,10,1,3,0,   3.4, 10.1,  8.7, 91, 30,N,230
142616,23013,2000,10,1,3,30,   3.4,  9.9,  8.0, 88, 26,N,230
142617,23013,2000,10,1,4,0,   3.4, 10.0,  6.9, 81, 28,N,230
142618,23013,2000,10,1,4,30,   3.4, 10.2,  7.1, 81, 26,N,230
142619,23013,2000,10,1,5,0,   3.4,  9.8,  6.2, 78, 24,N,230
142620,23013,2000,10,1,5,30,   3.4, 10.1,  5.9, 75, 26,N,230
142621,23013,2000,10,1,6,0,   3.4, 10.3,  6.3, 76, 18,N,220
142622,23013,2000,10,1,6,30,   3.4, 10.1,  5.5, 73, 24,N,220
142623,23013,2000,10,1,7,0,   3.4, 10.9,  5.2, 68, 26,N,220
142624,23013,2000,10,1,7,30,   3.4, 11.7,  5.3, 65, 28,N,220
142625,23013,2000,10,1,8,0,   3.4, 12.0,  5.2, 63, 30,N,210
142626,23013,2000,10,1,8,30,   3.4, 12.7,  3.9, 55, 31,N,220
142627,23013,2000,10,1,9,0,   3.4, 13.0,  4.4, 56, 33,N,220
142628,23013,2000,10,1,9,25,   0.0, 13.2,  4.4, 55, 30,N,230
142629,23013,2000,10,1,10,0,   0.0, 13.7,  4.0, 52, 30,N,220
142630,23013,2000,10,1,10,30,   0.0, 14.4,  4.1, 50, 30,N,230
142631,23013,2000,10,1,10,44,   0.0, 14.4,  3.8, 49, 28,N,230
142632,23013,2000,10,1,11,0,   0.0, 14.7,  1.6, 41, 30,N,230
142633,23013,2000,10,1,11,30,   0.2, 15.0,  1.5, 40, 28,N,230
142634,23013,2000,10,1,12,0,   0.2, 15.4,  3.2, 44, 28,N,230
142635,23013,2000,10,1,12,30,   0.2, 14.9,  3.4, 46, 26,N,230
142636,23013,2000,10,1,13,0,   0.2, 15.4,  4.2, 47, 28,N,240
142637,23013,2000,10,1,13,30,   0.2, 15.8,  2.2, 40, 28,N,230
142638,23013,2000,10,1,14,0,   0.2, 15.7,  3.5, 44, 28,N,220
142639,23013,2000,10,1,14,30,   0.2, 15.5,  3.6, 45, 24,N,220
142640,23013,2000,10,1,15,0,   0.2, 15.8,  4.5, 47, 21,N,250
142641,23013,2000,10,1,15,30,   0.2, 15.3,  4.4, 48, 22,N,230
142642,23013,2000,10,1,16,0,   0.2, 14.9,  5.1, 52, 21,N,230
